OlinkID,mb_present_6_nobs,mb_present_6_OR,mb_present_6_CI_lower,mb_present_6_CI_upper,mb_present_6_pvalue,mb_present_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20151,994,0.9258340967641213,0.8063122444749495,1.0630729975943791,0.27452337743410815,0.8887807503804328,55.33266025221684,Q13158,FADD,Cardiometabolic,Unique Protein
OID20152,994,1.2176159113781408,1.0457113090079988,1.4177799311051347,0.011225082402295816,0.6097003349797687,34.101359729214245,Q99674,CGREF1,Cardiometabolic,Unique Protein
OID20154,994,0.9380479770748817,0.8026214952319928,1.0963249956817296,0.4214257112582148,0.8958424123487057,40.09201901460317,P09382,LGALS1,Cardiometabolic,Unique Protein
OID20155,994,1.138702212180067,0.9664904673089869,1.3415990864700806,0.12052122429260224,0.8887807503804328,30.08972601602225,Q8WX77,IGFBPL1,Cardiometabolic,Unique Protein
OID20156,994,0.9216316230581763,0.7981282435869699,1.0642460725402094,0.2662442319266961,0.8887807503804328,92.19110538473848,P41218,MNDA,Cardiometabolic,Unique Protein
OID20157,994,1.0405821601788539,0.8890587034502893,1.217929961070376,0.6202855853528219,0.9062927162825352,31.910925275249152,P55285,CDH6,Cardiometabolic,Unique Protein
OID20158,994,1.0906013916468458,0.9396222409741715,1.26583997653024,0.25394584669539216,0.8887807503804328,34.067254928440164,Q9UHD0,IL19,Cardiometabolic,Unique Protein
OID20159,994,1.0690609349746043,0.9316130166697042,1.226787584800329,0.34154926952517384,0.8887807503804328,27.225397205064596,P16112,ACAN,Cardiometabolic,Unique Protein
OID20160,994,0.8749256279834368,0.75514723247892,1.0137027874542066,0.07527003809003661,0.8353999769041476,35.085523369124225,Q9ULL4,PLXNB3,Cardiometabolic,Unique Protein
OID20161,994,0.9710962670560983,0.8327996159690042,1.1323587833227187,0.7082707291607366,0.9299976068163038,35.60608109980716,Q06418,TYRO3,Cardiometabolic,Unique Protein
OID20162,994,0.9650816204244576,0.8388763570127757,1.1102739113994509,0.6191424146666532,0.9062927162825352,48.31644804982114,Q13541,EIF4EBP1,Cardiometabolic,Unique Protein
OID20163,994,0.9230847067986364,0.8084653052684774,1.053954165222417,0.23674575496394276,0.8887807503804328,36.84331130617283,O75340,PDCD6,Cardiometabolic,Unique Protein
OID20164,994,1.007994573457564,0.8661299296356773,1.1730954275500922,0.9180482690573828,0.9794773141923745,45.43397597254903,P51693,APLP1,Cardiometabolic,Unique Protein
OID20165,994,1.112834349013066,0.9703457233786728,1.2762464537189029,0.12617211577256787,0.8887807503804328,47.48464432582885,Q9NY25,CLEC5A,Cardiometabolic,Unique Protein
OID20166,994,1.1480501002265062,0.9895218550209024,1.3319756667751916,0.06859698040726969,0.8353999769041476,34.21801861697428,P08263,GSTA1,Cardiometabolic,Unique Protein
OID20167,757,1.034729611405608,0.8652360374780806,1.2374257686264296,0.708368230679429,0.9299976068163038,33.03134459525728,Q969P0,IGSF8,Cardiometabolic,Unique Protein
OID20168,994,1.059658799953375,0.922018373272006,1.2178464170229342,0.41433495462061554,0.8941691383497873,36.74751623264261,Q16820,MEP1B,Cardiometabolic,Unique Protein
OID20169,994,1.0827481307310267,0.9368379033235574,1.2513835215702604,0.2816910464337526,0.8887807503804328,37.970390056813486,P18827,SDC1,Cardiometabolic,Unique Protein
OID20170,994,0.9657826954334114,0.8399555602689001,1.1104590039263782,0.6249393689138789,0.9062927162825352,41.80476426200257,P19022,CDH2,Cardiometabolic,Unique Protein
OID20171,994,0.9637430782311087,0.8369000041702906,1.1098108689331332,0.6080047823919894,0.9062559842424803,35.15094046143933,Q8NI22,MCFD2,Cardiometabolic,Unique Protein
OID20172,994,1.0256016054286894,0.8855355325993802,1.1878220741411738,0.7357996959928601,0.93786149059905,35.11191454786049,Q96LA6,FCRL1,Cardiometabolic,Unique Protein
OID20173,994,0.9851724032824163,0.8407648938586428,1.1543829568512314,0.8534450154663575,0.9630944592577875,34.2402630326645,Q14956,GPNMB,Cardiometabolic,Unique Protein
OID20174,994,0.9549191833090886,0.8279504770385353,1.1013589241633537,0.5262771893339812,0.9062559842424803,38.957547394813155,P09417,QDPR,Cardiometabolic,Unique Protein
OID20175,994,0.9494094650721157,0.8135238212961193,1.1079925489242963,0.5100571275349866,0.8997567795924959,45.08045460640157,Q9UBU3,GHRL,Cardiometabolic,Unique Protein
OID20176,994,0.9320137939510975,0.8099344669854202,1.0724938220597489,0.3256374172015857,0.8887807503804328,47.89727776899288,P41236,PPP1R2,Cardiometabolic,Unique Protein
OID20177,994,0.9475135319402,0.823316253607859,1.090445972948569,0.45198711569029804,0.8958424123487057,57.464639866866506,Q9Y5K6,CD2AP,Cardiometabolic,Unique Protein
OID20178,994,0.9060017618071298,0.7867279046857402,1.0433584311789585,0.17048367480739604,0.8887807503804328,37.950839931852364,O95544,NADK,Cardiometabolic,Unique Protein
OID20179,994,0.9838410136685588,0.853202941223824,1.1344817198918364,0.8226605584624853,0.9575807596185234,35.64229743267314,P27352,CBLIF,Cardiometabolic,Unique Protein
OID20180,994,0.951903317347905,0.8221505425525538,1.1021338291217206,0.5097112442443984,0.8997567795924959,33.81004268014655,Q9GZM7,TINAGL1,Cardiometabolic,Unique Protein
OID20181,994,0.9013836719831666,0.7725616900222876,1.051686272580274,0.18699453879002967,0.8887807503804328,33.25499489049994,Q8WVQ1,CANT1,Cardiometabolic,Unique Protein
OID20182,994,0.8827860959219779,0.7590555167059221,1.0266854979661428,0.10562426593148033,0.8704259561956821,46.479869198769045,Q8WTU2,SSC4D,Cardiometabolic,Unique Protein
OID20183,994,0.9295106157930554,0.8076748238305003,1.069725042034123,0.30785827120336523,0.8887807503804328,62.54697300510441,P78380,OLR1,Cardiometabolic,Unique Protein
OID20184,994,0.932336408641979,0.8125482798318747,1.069784036782751,0.3180066657970413,0.8887807503804328,87.12365937501329,Q9NR28,DIABLO,Cardiometabolic,Unique Protein
OID20185,994,1.0785229002852057,0.9165243850995034,1.2691551532623175,0.36265912733521033,0.8887807503804328,42.774115019421075,Q86VZ4,LRP11,Cardiometabolic,Unique Protein
OID20186,994,0.9930061066529389,0.8381699771260889,1.1764452972069306,0.9353227711453246,0.9800451453821464,28.228257391280014,Q13275,SEMA3F,Cardiometabolic,Unique Protein
OID20187,994,1.0471446689345607,0.8421413020736425,1.3020522268389876,0.6785667606301632,0.9217665748413418,47.0573157261812,P41159,LEP,Cardiometabolic,Unique Protein
OID20188,994,1.1885725735483434,1.007471016428788,1.4022286890187554,0.040535407861161644,0.8005743052579425,33.00537675398541,P06858,LPL,Cardiometabolic,Unique Protein
OID20189,994,0.8801446740594103,0.7544480652132494,1.0267832644731945,0.10441314778837266,0.8704259561956821,37.097355357196925,Q8IZP9,ADGRG2,Cardiometabolic,Unique Protein
OID20190,994,0.9334375243315075,0.8087458486367534,1.0773540455247255,0.3464265675686487,0.8887807503804328,33.5974227289358,Q9Y286,SIGLEC7,Cardiometabolic,Unique Protein
OID20191,994,1.1091481795649458,0.9511987589133979,1.2933255775455004,0.18627811922046555,0.8887807503804328,34.412356699657096,O95502,NPTXR,Cardiometabolic,Unique Protein
OID20192,994,0.937805912953851,0.8169364194178601,1.0765586029300955,0.3617050274301336,0.8887807503804328,81.6031710461465,O75791,GRAP2,Cardiometabolic,Unique Protein
OID20193,994,0.8886995344662418,0.7748891744457593,1.0192255726445156,0.09148102632015946,0.8629462749645317,33.55127599310421,Q9HBB8,CDHR5,Cardiometabolic,Unique Protein
OID20194,994,1.029752508451864,0.881296921463722,1.203215627829192,0.712038545881144,0.930675189662447,36.75959527930229,P52888,THOP1,Cardiometabolic,Unique Protein
OID20195,994,0.9480148560265684,0.8270369056907801,1.0866893134550166,0.4434155636130477,0.8958424123487057,42.789433779264684,P35754,GLRX,Cardiometabolic,Unique Protein
OID20196,994,1.0779878517184425,0.936312572493652,1.241100293417689,0.2962006362327964,0.8887807503804328,35.21724849840137,P21583,KITLG,Cardiometabolic,Unique Protein
OID20197,994,1.0938191759437235,0.9415662008323806,1.270691735328336,0.24093633377407087,0.8887807503804328,36.39927455414091,Q9UKJ0,PILRB,Cardiometabolic,Unique Protein
OID20198,994,0.9751611159267577,0.848086699773822,1.1212759288279455,0.7240173235320666,0.9347626487121161,33.441281834061485,Q15846,CLUL1,Cardiometabolic,Unique Protein
OID20199,994,0.9623803070283117,0.8395071605972786,1.1032375884643644,0.5821674980401499,0.9062559842424803,56.976812809278634,P23526,AHCY,Cardiometabolic,Unique Protein
OID20200,994,1.0584525424378646,0.9140737590264479,1.2256360862895794,0.44771072437627957,0.8958424123487057,39.18793377172315,P12104,FABP2,Cardiometabolic,Unique Protein
OID20201,994,0.8604454218601333,0.7436515239803514,0.9955823394770917,0.043436646270229036,0.8128415545635032,33.024904135837545,P00797,REN,Cardiometabolic,Unique Protein
OID20202,994,1.0244962734041605,0.8774117517193347,1.1962372422779617,0.7595545532761607,0.9425847516792629,32.94019440327249,Q9UK05,GDF2,Cardiometabolic,Unique Protein
OID20203,994,0.9390231930033646,0.8124290074643008,1.0853435178912907,0.39446680858116095,0.8926320207359053,127.70205644841062,P12724,RNASE3,Cardiometabolic,Unique Protein
OID20204,994,0.9700544450724726,0.827914834915223,1.136597131396033,0.7068423847963907,0.9299976068163038,39.42405651623527,Q9BQB4,SOST,Cardiometabolic,Unique Protein
OID20205,994,1.1397754251799168,0.9420366580772258,1.379020666239895,0.17837148262251307,0.8887807503804328,35.05681188387301,Q9NQX5,NPDC1,Cardiometabolic,Unique Protein
OID20206,994,0.9743446773839508,0.8486532337892877,1.1186518975571933,0.7122546696116641,0.930675189662447,59.79217054323547,Q07108,CD69,Cardiometabolic,Unique Protein
OID20207,994,0.9428748672320396,0.8245900756524128,1.0781272313451653,0.38974812842521606,0.8907222669170497,67.99258512214456,P42830,CXCL5,Cardiometabolic,Unique Protein
OID20208,994,1.10332040648849,0.9553515458026658,1.2742073059097467,0.18079844774959508,0.8887807503804328,36.60447437336462,P02462,COL4A1,Cardiometabolic,Unique Protein
OID20209,994,1.0325781276862056,0.8953552823576089,1.190831852768472,0.6594598068754917,0.9139881533888394,34.07086219424861,A6NI73,LILRA5,Cardiometabolic,Unique Protein
OID20210,994,0.9569497282663657,0.8306868363609985,1.1024043506464147,0.5421666662188075,0.9062559842424803,26.822344509155556,Q9UEW3,MARCO,Cardiometabolic,Unique Protein
OID20211,994,1.1116782023696328,0.9530580767092902,1.296697919911486,0.177696347078162,0.8887807503804328,28.409272453327045,O95841,ANGPTL1,Cardiometabolic,Unique Protein
OID20212,994,1.0045474217143033,0.8700476436679323,1.159839383299335,0.9506703742939372,0.9853934411564462,35.157211407863194,Q9BQR3,PRSS27,Cardiometabolic,Unique Protein
OID20213,994,0.9397138403833852,0.8101287198041698,1.0900269058743537,0.41145157908045044,0.8934682317763727,34.28494169626506,Q99523,SORT1,Cardiometabolic,Unique Protein
OID20214,994,0.9933601165934763,0.8601929551963842,1.1471429930663921,0.9277170182428358,0.9794773141923745,35.97537146507491,P35247,SFTPD,Cardiometabolic,Unique Protein
OID20215,994,0.9863454245602504,0.8541817382387501,1.1389582017486475,0.8514151022007311,0.9630944592577875,37.65967830683566,P20711,DDC,Cardiometabolic,Unique Protein
OID20216,994,0.9428280913090786,0.8237153346903093,1.0791650614295385,0.39291048641494747,0.8926320207359053,51.76787703710303,P31431,SDC4,Cardiometabolic,Unique Protein
OID20217,994,1.0799497841954104,0.9440067284852387,1.2354695164674885,0.2624870606791765,0.8887807503804328,44.520121715167335,P09601,HMOX1,Cardiometabolic,Unique Protein
OID20218,994,0.9534342313988144,0.8305582491851895,1.0944889590764393,0.4981532127471632,0.8958424123487057,62.628145145932464,O00161,SNAP23,Cardiometabolic,Unique Protein
OID20219,994,1.0641230605609053,0.9298552882924608,1.217778618108322,0.36644013887393895,0.8887807503804328,35.931893320097515,Q8IW75,SERPINA12,Cardiometabolic,Unique Protein
OID20220,994,0.8870432267962284,0.7657641141188575,1.0275301123381388,0.11005592824534102,0.87810117690493,46.918939986573534,P01241,GH1,Cardiometabolic,Unique Protein
OID20221,994,1.167574565511148,0.9847139267303057,1.3843922879765553,0.07462756891393038,0.8353999769041476,35.69542565192197,Q9BUD6,SPON2,Cardiometabolic,Unique Protein
OID20222,994,1.0791821951966913,0.9161080937670381,1.2712847079437666,0.3619261181320902,0.8887807503804328,36.016872584688876,Q92692,NECTIN2,Cardiometabolic,Unique Protein
OID20223,994,0.8904233428840922,0.7693011424402442,1.030615562376429,0.11976599670436791,0.8887807503804328,44.1080839542237,Q6WN34,CHRDL2,Cardiometabolic,Unique Protein
OID20224,994,1.2016085957455829,0.9961084324975803,1.4495040602652252,0.05495220981789161,0.8284028962983307,33.636050641719194,Q01973,ROR1,Cardiometabolic,Unique Protein
OID20225,994,0.9668154593325473,0.8437857056090531,1.1077837965146675,0.6269861182076287,0.9062927162825352,67.09599007733782,Q8N1Q1,CA13,Cardiometabolic,Unique Protein
OID20226,994,1.0456839339355044,0.8848549974725702,1.2357447184161137,0.6000866622541148,0.9062559842424803,37.76072639043195,Q76M96,CCDC80,Cardiometabolic,Unique Protein
OID20227,994,0.957476218632152,0.8328353044389986,1.100770709838794,0.541401271486222,0.9062559842424803,99.59646263030456,P09467,FBP1,Cardiometabolic,Unique Protein
OID20228,994,0.9977615510733627,0.8622301124975916,1.1545967814979363,0.9759986936901593,0.9961048120308436,31.03031272968727,P07711,CTSL,Cardiometabolic,Unique Protein
OID20229,994,1.031686935309249,0.89237828379061,1.1927429788705384,0.6733912591488092,0.9210205141843997,37.883048561414235,Q92823,NRCAM,Cardiometabolic,Unique Protein
OID20230,994,0.9879805734523857,0.8620740959960178,1.1322757731068789,0.8619761335314429,0.9660918921379484,53.106155897429865,P04792,HSPB1,Cardiometabolic,Unique Protein
OID20231,994,1.0693180432432634,0.9105095228598309,1.255825500884552,0.41389068750597263,0.8941629560827479,34.05280788909543,P07204,THBD,Cardiometabolic,Unique Protein
OID20232,994,0.952660819010608,0.829144022551087,1.0945777951647038,0.4936608233886396,0.8958424123487057,52.9552703239026,Q16773,KYAT1,Cardiometabolic,Unique Protein
OID20233,994,1.1615054859140297,0.9719044280385736,1.3880942970195445,0.09964395839228977,0.8642647973250911,46.229200935715404,Q92520,FAM3C,Cardiometabolic,Unique Protein
OID20234,994,0.9231145853939136,0.8043589163729739,1.0594033589003533,0.2548407846501342,0.8887807503804328,69.94960676192586,P19971,TYMP,Cardiometabolic,Unique Protein
OID20235,994,0.8944757989429022,0.7792515368552817,1.02673773108404,0.11297227288629895,0.884873584346954,70.26170961646481,Q8NBP7,PCSK9,Cardiometabolic,Unique Protein
OID20236,994,1.1151808179505647,0.9622387356167754,1.292432128007973,0.14746721638523227,0.8887807503804328,27.54719353629453,Q16270,IGFBP7,Cardiometabolic,Unique Protein
OID20237,994,0.90587780468234,0.7843186030037477,1.0462771045763077,0.17874218437375552,0.8887807503804328,40.83043423212725,P07911,UMOD,Cardiometabolic,Unique Protein
OID20238,994,1.1410471728423968,0.9950009648597284,1.3085300382951648,0.058988424339300814,0.8353999769041476,66.06885393928198,P55058,PLTP,Cardiometabolic,Unique Protein
OID20239,994,0.9682354276007719,0.8302703971883274,1.1291259407007428,0.6806512840972687,0.9220477329420884,68.54774781481102,Q13361,MFAP5,Cardiometabolic,Unique Protein
OID20240,994,0.7412211705524404,0.6418137771734026,0.8560252883550876,4.5835232204815994e-5,0.06698819186733858,45.747429758296846,P01130,LDLR,Cardiometabolic,Unique Protein
OID20241,994,1.0666098694199895,0.9249032062763726,1.2300277540655222,0.37527537215857276,0.8887807503804328,45.289977640434934,P22748,CA4,Cardiometabolic,Unique Protein
OID20242,994,1.1541913070153558,0.9836235082184335,1.354336859641202,0.07881289510960425,0.8353999769041476,52.314259901773106,P54760,EPHB4,Cardiometabolic,Unique Protein
OID20243,994,0.9901542309489293,0.8645404027214145,1.1340191828859927,0.8863275986181891,0.9738454569407343,52.06089228866424,P33151,CDH5,Cardiometabolic,Unique Protein
OID20244,994,0.9240661923538558,0.7971570623496652,1.0711795305864067,0.29475972573066483,0.8887807503804328,60.80455777096107,P23141,CES1,Cardiometabolic,Unique Protein
OID20245,994,1.1034658382282683,0.9165586579379408,1.3284876484351096,0.2984272042720907,0.8887807503804328,44.76614717411892,P15090,FABP4,Cardiometabolic,Unique Protein
OID20246,994,1.1123098439252834,0.9496870193874546,1.3027799302670264,0.1868799520249901,0.8887807503804328,64.76816298498393,P08833,IGFBP1,Cardiometabolic,Unique Protein
OID20247,757,0.9021443111843569,0.769522838822602,1.0576220966326872,0.2042921004338614,0.8887807503804328,63.19472280875097,P00750,PLAT,Cardiometabolic,Unique Protein
OID20248,994,0.9158875410058227,0.799217378886621,1.0495892731190146,0.20629455702792812,0.8887807503804328,49.31949979438927,P13598,ICAM2,Cardiometabolic,Unique Protein
