OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID30649,951,0.023368051926555146,0.03108674367128674,0.45241741810607883,0.870755627017985,65.14292776036312,Q9HB71,CACYBP,Inflammation_II,Unique Protein
OID30650,951,0.05626470750127321,0.03622559060633638,0.12071883902717291,0.7828750180099703,40.48673968553981,O60279,SUSD5,Inflammation_II,Unique Protein
OID30651,951,-0.016808414196466188,0.029820301528186627,0.5731226259918425,0.8972999242740167,41.9518751966471,A6NC86,PINLYP,Inflammation_II,Unique Protein
OID30652,951,0.015009491111790188,0.03088597519435822,0.627105876203991,0.9034057674236387,36.46729994154892,P49862,KLK7,Inflammation_II,Unique Protein
OID30653,951,0.02333810446725322,0.03133770104286591,0.4566221165862355,0.8717873590996514,59.31963460796352,Q92619,ARHGAP45,Inflammation_II,Unique Protein
OID30654,951,0.03328555596201486,0.03063955289927065,0.2775995564786338,0.8309176576770881,45.96740798362152,Q04323,UBXN1,Inflammation_II,Unique Protein
OID30655,951,0.029531121008420508,0.030570116751749414,0.3342870820032865,0.8382542656564058,74.90438423687563,P35611,ADD1,Inflammation_II,Unique Protein
OID30656,951,0.02797614021939526,0.031070872785801222,0.36814003351241753,0.8481679812404261,65.34426070184772,Q8N0X7,SPART,Inflammation_II,Unique Protein
OID30657,951,0.01669324120534934,0.031103440841464887,0.5916017153091415,0.898224976448645,61.243410180087665,P32321,DCTD,Inflammation_II,Unique Protein
OID30658,951,0.024755583765357643,0.031350764557980394,0.42994217075745933,0.8638175655543886,54.62744500624268,P56192,MARS1,Inflammation_II,Unique Protein
OID30659,951,0.026788985997439473,0.030776934293047155,0.3842916037966593,0.8512302216169279,55.42197854342324,Q6GMV3,PTRHD1,Inflammation_II,Unique Protein
OID30660,951,0.02191316936961084,0.031055287815606302,0.4806011242002475,0.8781224113199061,34.71370779990847,O15335,CHAD,Inflammation_II,Unique Protein
OID30661,951,0.04543437205909905,0.02986463235817876,0.1285109694031474,0.7921176175018149,45.793159318777434,P25686,DNAJB2,Inflammation_II,Unique Protein
OID30662,951,-0.0025316442885057323,0.027791137454413205,0.9274362718336345,0.980432630224128,37.71035681469074,Q58EX2,SDK2,Inflammation_II,Unique Protein
OID30663,951,0.03787850758387793,0.030572196772980877,0.21566114596951402,0.820689083731335,84.24865191547804,Q86SX6,GLRX5,Inflammation_II,Unique Protein
OID30664,951,0.023879814631496073,0.031078778148107476,0.4424645595129745,0.865479656572405,84.20679807345068,Q9Y4D1,DAAM1,Inflammation_II,Unique Protein
OID30665,951,0.05662323975832485,0.029826954638086826,0.057951557220905316,0.75621607927101,63.57492495425626,Q6UX06,OLFM4,Inflammation_II,Unique Protein
OID30666,951,0.07522295873510118,0.03784424483271364,0.04713571755351269,0.6973888972601561,28.22509753033802,P01210,PENK,Inflammation_II,Unique Protein
OID30667,951,0.001984775073797312,0.03135210504617066,0.9495363726215561,0.9850951975607227,105.36098155614167,P0DML2,CSH1,Inflammation_II,Unique Protein
OID30668,951,0.012153982064439886,0.029824673977495778,0.6837233556669902,0.9260804688256491,27.443893995636408,P32119,PRDX2,Inflammation_II,Unique Protein
OID30669,951,0.03788125268717065,0.029675164619955514,0.202084337863663,0.820689083731335,15.136619564145029,P40925,MDH1,Inflammation_II,Unique Protein
OID30670,951,0.040010401958553744,0.02990403223874797,0.18123405764935813,0.820689083731335,44.62702010299762,P10599,TXN,Inflammation_II,Unique Protein
OID30671,951,0.04501119075642354,0.03232114173628454,0.16406394451125286,0.820689083731335,67.88835648289022,P0DN86,CGB3_CGB5_CGB8,Inflammation_II,Unique Protein
OID30672,951,0.05726442298752463,0.038040008819909994,0.1325650754241225,0.7921176175018149,28.162308398561287,P07998,RNASE1,Inflammation_II,Unique Protein
OID30673,951,-0.0017349003053794944,0.02900690773238042,0.9523197926368032,0.9850951975607227,58.03278650164639,P04114,APOB,Inflammation_II,Unique Protein
OID30674,951,0.02319504002867035,0.030614699640700883,0.44885469130122857,0.8689716311636219,57.27646954710014,Q92686,NRGN,Inflammation_II,Unique Protein
OID30675,951,-0.004819160804375236,0.03022581777645962,0.8733577227328949,0.9644537883246134,214.15707443481776,P16442,ABO,Inflammation_II,Unique Protein
OID30676,951,-0.014815242405319125,0.031873721806078295,0.6421751165512279,0.9108816578508377,45.37094966927174,Q6UXB8,PI16,Inflammation_II,Unique Protein
OID30677,951,0.007773033000519672,0.030575738096873122,0.7993796377542643,0.9492311292080764,62.16817795281933,P04180,LCAT,Inflammation_II,Unique Protein
OID30678,951,0.0209064837144401,0.030623190893987413,0.49496453030747645,0.8871123319539896,44.46239582065331,Q0ZGT2,NEXN,Inflammation_II,Unique Protein
OID30679,951,0.026159522791076723,0.03167986284676172,0.40915833288516257,0.8627265803609063,46.82555256438267,P07307,ASGR2,Inflammation_II,Unique Protein
OID30680,951,0.0397822951002148,0.03122561930168069,0.20296960504750575,0.820689083731335,46.77353627196631,P06744,GPI,Inflammation_II,Unique Protein
OID30681,951,-0.015844920762996758,0.03017380682396292,0.5996228178139847,0.8987035688426278,65.65748606137227,P07333,CSF1R,Inflammation_II,Unique Protein
OID30682,951,0.02453403416476321,0.030787899743855686,0.42572688237815415,0.8638175655543886,89.40206439119146,Q86YW5,TREML1,Inflammation_II,Unique Protein
OID30683,951,0.008055082737325664,0.03169687245271441,0.7994519421276756,0.9492311292080764,51.09140499822749,P08294,SOD3,Inflammation_II,Unique Protein
