OlinkID,fa_1_nobs,fa_1_beta,fa_1_se,fa_1_pvalue,fa_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20304,1187,-0.04637246225858321,0.028593472545305375,0.10511768831586868,0.23494425027622406,60.67412346053448,P78324,SIRPA,Cardiometabolic,Unique Protein
OID20305,1187,-0.07869135216070275,0.02736864780529711,0.004110060436882909,0.02908887810413739,68.70571581640652,P42574,CASP3,Cardiometabolic,Unique Protein
OID20306,1187,0.024944522697976933,0.02793568828948839,0.3720792497551979,0.5655681991858781,52.65702612005766,Q13332,PTPRS,Cardiometabolic,Unique Protein
OID20307,1187,9.996632668927711e-4,0.027545834181835083,0.9710565657125254,0.9828249105185982,43.4634975842823,Q12860,CNTN1,Cardiometabolic,Unique Protein
OID20308,1187,-0.017010480236571368,0.029157663504338138,0.5597383394285627,0.7280011546403609,63.49221599113213,Q8TDL5,BPIFB1,Cardiometabolic,Unique Protein
OID20309,1187,-0.060967352411305256,0.026866687766818876,0.023433508424762255,0.08195394910790332,66.25896415393858,P20160,AZU1,Cardiometabolic,Unique Protein
OID20310,1187,-0.02199674391171813,0.028812924610631587,0.4453583267313682,0.6328548318112733,54.354536744400214,P10586,PTPRF,Cardiometabolic,Unique Protein
OID20311,1187,-0.0056457421197455525,0.027095663752160118,0.8349814153731124,0.907305084437029,55.05772187134104,P46531,NOTCH1,Cardiometabolic,Unique Protein
OID20312,1187,-0.03263546392471268,0.029572790906867395,0.270008320853986,0.4588571638698844,57.47092284570946,Q13231,CHIT1,Cardiometabolic,Unique Protein
OID20313,1187,-0.05561907483992149,0.027448840401789184,0.042961504021771874,0.12520087363473498,61.14299012780048,P04085,PDGFA,Cardiometabolic,Unique Protein
OID20314,1187,-0.0738095087709433,0.027654995741019834,0.007713932034657356,0.041755228402413795,58.15499355853627,P13686,ACP5,Cardiometabolic,Unique Protein
OID20315,1187,-0.06542224590227878,0.027463034937826255,0.0173682445530523,0.06787082731092496,58.5830668122483,P05107,ITGB2,Cardiometabolic,Unique Protein
OID20316,1187,0.0027510364346367555,0.028149936396905804,0.9221649641305797,0.9599316916501726,62.522675538325636,P25445,FAS,Cardiometabolic,Unique Protein
OID20317,1187,-0.07238426649629082,0.026613164287934997,0.0066271150835151196,0.038664785207813766,54.36778141647737,O15031,PLXNB2,Cardiometabolic,Unique Protein
OID20318,1187,-0.04688912452790503,0.027987065111240404,0.0941246773359088,0.21800826612746546,68.35188804377653,Q14393,GAS6,Cardiometabolic,Unique Protein
OID20319,1187,-0.035172435698430954,0.026705931538868327,0.1880863263488945,0.35696543712258083,46.960190647701964,P00533,EGFR,Cardiometabolic,Unique Protein
