protein,Nobs_wmh,model_wmh,beta_wmh,SE_wmh,P_wmh,beta_time_wmh,SE_time_wmh,P_time_wmh,beta_int_time_wmh,SE_int_time_wmh,P_int_time_wmh,P_wmh_fdr,P_time_wmh_fdr,P_time_wmh_int_fdr
OID30698,2797,lmer,0.025540464660867967,0.024362362302534527,0.29475293113110557,0.11804212476419015,0.016533659750080854,1.3252755211055097e-12,-0.005942527806396336,0.01588608669987199,0.7083941678691065,0.9637176672984354,2.332197681030346e-12,0.8991694376964041
OID30699,2797,lmer,0.029659241462262436,0.02758671820567813,0.28259712569776313,0.12629481162877734,0.011780365274836885,4.431199014312019e-26,0.011751589519300526,0.011237288304953574,0.2958048342448525,0.9637176672984354,9.812420241540933e-26,0.6605328728019128
OID30700,2797,lmer,0.021043432500043084,0.02347250744675564,0.3702128871477809,0.23708486605938936,0.015371227092348677,1.0842597062374959e-50,0.004620666445694293,0.014760703897492384,0.7542865888379389,0.9637176672984354,3.634508166665367e-50,0.9137089511700354
OID30701,2797,lmer,-0.013404498032610691,0.02530614790900956,0.5964498315101583,0.030980211815730806,0.006280773451081701,8.831404542780182e-7,0.013061684609168277,0.005955175583484317,0.028407450427660994,0.9647934823891748,1.3557875776547517e-6,0.17742516581207923
OID30702,2797,lmer,-0.021354688981924507,0.027894635850839747,0.4441391387812529,0.14773060163125185,0.010813042579764438,1.3178174145821599e-40,0.017262718017218272,0.010300844942046047,0.09393534958892615,0.9637176672984354,3.627100096820766e-40,0.3776795417447471
OID30703,2797,lmer,-0.010214983339261276,0.033088596868202834,0.7576058265586796,-0.03148962572026003,0.005952972109155283,1.3690741006356154e-7,-9.149878309690637e-4,0.005633069251032159,0.8709838326870243,0.9838678546821806,2.1388581486680405e-7,0.9589023513914019
OID30704,2797,lmer,0.03513802967060114,0.025290819295971306,0.165054598230228,-0.06898892136445837,0.010465888837011625,5.6057395233642095e-11,-0.024835890102655005,0.009978991684065729,0.012903802584106817,0.9298915554305961,9.493381591421543e-11,0.10716556769548731
OID30705,2797,lmer,0.01986811440926333,0.021903425576574743,0.3645998729713805,0.20514457509798695,0.01267403068141572,2.3685308445575867e-55,0.025669491533295362,0.012146335365714704,0.034702775957898994,0.9637176672984354,9.073677141077098e-55,0.20174910990130093
OID30706,2797,lmer,6.786253452698096e-4,0.026417758471347613,0.9795115620002974,-0.009575323752082494,0.01508234852541119,0.5255891709141313,0.005823434372762199,0.014451259568795593,0.6870160783118582,0.9999016157417211,0.5602834232611253,0.8889544032339803
OID30707,2797,lmer,-0.009465264074304144,0.028478074594894775,0.7396847331165392,0.04837281559329261,0.012786144244625047,1.5957975537074444e-4,-3.3500306140781373e-4,0.012205554593700998,0.9781063457770969,0.9820305321966607,2.254478612608439e-4,0.9897079015781989
OID30708,2797,lmer,0.05000016836703666,0.021088696884199287,0.017947195075583885,-0.3214647327895529,0.012526544271423171,3.9929053687828285e-125,-8.00556757498435e-4,0.012010062520942052,0.94686179540028,0.6829696021346061,2.43151299853171e-123,0.9850393502318368
OID30709,2797,lmer,-0.016989217480160856,0.022727174300779023,0.454935313873453,0.11093340308983049,0.017312838637484493,1.8535547375075337e-10,0.018510891498136738,0.016665219520231644,0.2668188551086547,0.9637176672984354,3.1119704179980017e-10,0.6320190546860598
OID30710,2797,lmer,0.028179615016172867,0.028179037663943658,0.31756039702804584,0.019865652562104777,0.012296867380633826,0.1063664808173483,-0.021272434657897483,0.011733625905738149,0.07000147235933694,0.9637176672984354,0.12541719379955996,0.31674040821415156
OID30711,2797,lmer,-0.010394484859092046,0.03214958660516635,0.7465278879850938,-0.023820281109170314,0.007488152741047032,0.001491380432658095,-0.035539776712696786,0.007096570528682954,6.023272030489709e-7,0.9820305321966607,0.0020042781630618903,7.65479310657453e-5
OID30712,2797,lmer,0.023070160498541294,0.020010347822151,0.2492466589256805,0.3584684307242705,0.017248176092632548,9.936180694010549e-87,-0.006436586373869603,0.016634159955653354,0.6988372638871816,0.9575273474331655,1.1903055806800342e-85,0.8955288567918596
OID30713,2797,lmer,0.016097022398563903,0.032794658694568914,0.6236521967114197,0.024836662671920518,0.005928501156517783,2.9279408394626153e-5,0.011406545636523368,0.0056100419998913,0.04217127418646279,0.9686160313429754,4.268514251246496e-5,0.22814998939320072
OID30714,2797,lmer,-0.02614566687794015,0.025831224638810935,0.31171809994679645,0.07309325639565602,0.01304957784553194,2.4358712574578203e-8,0.01154568989155109,0.012479322384625631,0.3549891597796473,0.9637176672984354,3.8843708049913845e-8,0.7113888553264196
OID30715,2797,lmer,5.164517713429681e-4,0.029745598708356306,0.9861512880879877,-0.01335353533956356,0.011199571213613453,0.2332820769337216,0.010623127695555883,0.01066500531207724,0.319344199050694,0.9999016157417211,0.26266699186335446,0.6788440819739205
OID30716,2797,lmer,-0.030135309689765386,0.027813106514283852,0.27886997717574896,0.022382535964383034,0.011383845836982442,0.0494243089417417,-0.00300936827617427,0.010852588209212187,0.7815845017970552,0.9637176672984354,0.06027002713254526,0.9280713375495823
OID30717,2797,lmer,0.035259029616408366,0.027409618465515213,0.1986317442924424,0.005268387118425385,0.012938984615577836,0.683927421426437,-0.02178491650037916,0.012360689498319536,0.07815987132615933,0.9393434348168217,0.7121908987636179,0.3379605087076386
OID30718,2797,lmer,0.011535479454515213,0.026951825953883662,0.6687478778485317,0.14218780010588125,0.010598529419745185,2.8270914490818988e-39,0.010261523947333656,0.010098420796105354,0.30969021021759086,0.9719863246021827,7.602197153326946e-39,0.6718247823357419
OID30719,2797,lmer,-0.018519166220504223,0.024128954783749317,0.4429746087296449,0.04812855284770913,0.015588483335285721,0.00204759864094537,-0.00640371839912971,0.014966059317492165,0.6687857674083859,0.9637176672984354,0.002732936450905624,0.8795334772338745
OID30720,2797,lmer,0.013111846268846676,0.029683142778300912,0.6587885216214933,0.021116464266894036,0.00959958245705789,0.027946541100174763,0.001999723208070309,0.009124727788006116,0.826553969155928,0.9719863246021827,0.03483485698755259,0.9377976733672478
OID30721,2797,lmer,0.01237586336596608,0.027520177599985426,0.6530302171258824,-0.027317071845474526,0.014676304366807903,0.06285357020383474,-5.248372368746608e-4,0.014046905535721186,0.9701994163663599,0.9709367476161757,0.07588640466989217,0.989371231913432
OID30722,2797,lmer,-0.004534247633959553,0.01932218749568186,0.81452086387204925,0.04200439752099502,0.016645050372732728,0.011697935434410035,0.008563341520308297,0.016052363292090286,0.5937764688208695,0.9899561268598751,0.014918440346762886,0.8446644077491592
OID30723,2797,lmer,0.0210126514598035,0.02395675982307188,0.3806582538778617,-0.08177868968962956,0.016853545218433234,1.3187466872657956e-6,-0.0044235128774209225,0.016202759154498064,0.7848759310374845,0.9637176672984354,2.0097479493628365e-6,0.9280713375495823
OID30724,2797,lmer,0.0239432166603828,0.02450668597289596,0.3288208001907621,-0.07381059297629028,0.015111727048980691,1.1236077665770634e-6,-0.019946699975278294,0.014497417863881767,0.16902418039985787,0.9637176672984354,1.7204324262465984e-6,0.5146434159466505
OID30725,2797,lmer,0.046526521728315645,0.021969040654968068,0.034455559449954716,0.18027607825470604,0.015190757159195302,2.0956593001787833e-31,0.01860270798655919,0.014600154318318629,0.20277032063442824,0.7113087538881679,5.029238205601464e-31,0.5584809727799015
OID30726,2797,lmer,0.0662144834869585,0.026121890547081212,0.011416750391905721,0.014449416901751666,0.016078926374743174,0.36894944056855794,-0.0017915021853712116,0.015424853158308017,0.9075511271111136,0.5842296319815751,0.4037585978217502,0.9707593317944142
OID30727,2797,lmer,0.009058125146581695,0.02473375565274658,0.7142804169204979,0.013842366608255389,0.013218399753733168,0.2951370713488061,0.024463238385747335,0.012651949952501174,0.05331926504572474,0.9820305321966607,0.328642156020023,0.2650547818514514
OID30728,2797,lmer,-0.00656935118874178,0.02784292904304965,0.8135287747860445,0.013989489220366766,0.013942925092728738,0.3158237204869602,0.014457744322600918,0.013331812362425168,0.27830394180859436,0.9899561268598751,0.3503425939215882,0.6410420976410727
OID30729,2797,lmer,0.038348222805551536,0.024172644169675357,0.11298396931790873,0.056512851672787426,0.01852123376450661,0.002309983416835724,0.014551631626825455,0.01783002416607417,0.4145291479466332,0.8825394347067391,0.0030761191468842014,0.7516555207493851
OID30730,2797,lmer,-0.016163600786710787,0.0241536076904048,0.5035341500298933,-0.06684141354903829,0.008336257149169404,1.862545003643333e-15,-0.013712351463852137,0.00792980729236454,0.08393750050715132,0.9637176672984354,3.4720784729907288e-15,0.3555787159165265
OID30731,2797,lmer,-0.0225886779138033,0.024315823336167983,0.3531482157715996,0.02514387420527638,0.015640418230668505,0.1080824548372445,-0.01370270543881223,0.01501485654248552,0.3615660053968759,0.9637176672984354,0.12723520559374374,0.7148115768396451
OID30732,2797,lmer,0.024516137216892265,0.023003540344853017,0.28681406701308915,-0.04801497234125273,0.017557229351546258,0.006299592016236691,-0.04622239365334505,0.01690097646083315,0.006298961988030637,0.9637176672984354,0.00818023432406035,0.06744273220151484
OID30733,2797,lmer,-0.012120219746627154,0.024345156544149132,0.618708549016622,0.20603705340334388,0.014833192043443405,7.109307657089893e-42,0.004866338920462229,0.014227447223217117,0.7323602527480844,0.9664713299573297,1.9923783587414915e-41,0.9032443117226374
OID30734,2797,lmer,0.03970389809222444,0.02609758139850689,0.12850750086395896,-0.007842162681895271,0.015913110075018715,0.6222018526930801,-0.010200328994330519,0.015263453569088252,0.5040344131451975,0.88927197484369,0.653971958080501,0.8007024943605502
OID30735,2797,lmer,0.039867371865878624,0.025243061304597,0.11460129625331127,-0.0010721753206228348,0.01630885024765343,0.9475901235277424,-0.014948813454687362,0.015657672388392146,0.33983929015553416,0.8825394347067391,0.9534615941726646,0.699542426144103
OID30736,2797,lmer,-0.02292598304579032,0.02310351274648116,0.3213009950077133,0.004774112875200875,0.016733968905861023,0.7754488749666801,-0.03314340279632597,0.01609524959722407,0.039612273837226306,0.9637176672984354,0.7975499864629155,0.2192929477769176
OID30737,2797,lmer,0.047437095949925505,0.02575162243850197,0.06578130943035203,0.043881971892825784,0.016179717466792205,0.006744219100481004,-0.013439321766915976,0.015526696033313673,0.38684176676117066,0.7816210059549552,0.008726583634664,0.7325935947635938
OID30738,2797,lmer,0.028320881702137143,0.022336648192133397,0.20514844841427785,0.17030454454108515,0.014177654412145229,4.173114232061207e-32,0.036790474486119676,0.013607675614475758,0.0069203492476719985,0.9397435363278199,1.0106058740940271e-31,0.07164178337818594
OID30739,2797,lmer,0.001230040839758059,0.028588900892221086,0.9656906833756196,-0.07974368673105765,0.010445007836127987,3.560659495100141e-14,0.005884571149128133,0.009942650313539343,0.5540221796290867,0.9999016157417211,6.452453629372418e-14,0.8193674899630773
OID30740,2797,lmer,0.03339165601924863,0.025504038612805268,0.19076630037698866,0.07909989053699099,0.01689520760170739,3.0415611004459113e-6,0.026982442263615736,0.016227167689659195,0.09652093000089776,0.9375324558441192,4.587452578226728e-6,0.3828096043319188
OID30741,2797,lmer,0.014378951306592357,0.028019408910650648,0.6079507274130098,0.01885159301878677,0.014791098041574385,0.20263360903608438,-0.03014786186924124,0.014154495138444308,0.03331058843188566,0.9647934823891748,0.23100547551188558,0.19728159191965275
OID30742,2797,lmer,0.05826248153247562,0.030384979600369944,0.055481346591025105,0.11006996598460488,0.011096490692100466,1.2028690494281264e-22,0.016257118081768492,0.010562743462401148,0.12395026920521574,0.7588711049652954,2.5294864974664845e-22,0.435988732715819
OID30743,2797,lmer,0.010169563971350304,0.024179335415435353,0.6741520875868094,-0.06013243860486357,0.016744552266844768,3.374135353838541e-4,-0.014335136710938194,0.016093930965830092,0.3731952208350332,0.9731094084030835,4.692006488710778e-4,0.7208176160144549
OID30744,2797,lmer,-0.007034021716329136,0.02239305392314571,0.7535035224962535,0.06098819681375175,0.01879014305769886,0.0011914082981356715,0.022513313570681325,0.018114005069547186,0.21407161871289848,0.9820305321966607,0.0016085387784991075,0.5734375215792455
OID30745,2797,lmer,0.0439954372165483,0.022905088807803883,0.05506662887194196,0.033858866579682546,0.017843137551751636,0.05789955542884058,0.03976960599854933,0.017181644445559512,0.02073912401270289,0.7588711049652954,0.07013692520451761,0.14791439504820067
OID30746,2797,lmer,0.01869199308227349,0.02505613477140867,0.4558528847181942,0.019361134251079225,0.01641219736708183,0.2382728999316295,0.027802378291983548,0.015760388940694904,0.07788372716656397,0.9637176672984354,0.2678737255769819,0.33754345007614983
