protein,Nobs_fa,model_fa,beta_fa,SE_fa,P_fa,beta_time_fa,SE_time_fa,P_time_fa,beta_int_time_fa,SE_int_time_fa,P_int_time_fa,P_fa_fdr,P_time_fa_fdr,P_time_fa_int_fdr
OID30871,3499,lmer,-0.009299067456646128,0.026119897499990174,0.721892427077716,0.08449198352308748,0.011961401123847457,2.1131189078069185e-12,-0.018571324147189677,0.011917070896243746,0.11927730655712704,0.8535930610266715,3.5074653989322108e-12,0.2991195505007699
OID30872,3499,lmer,0.011829679242049473,0.025206137009471875,0.6389301497976145,-0.09585996424225729,0.01232158299738839,1.0718629993280064e-14,-2.8491678426454475e-5,0.012284503317742038,0.9981496507865619,0.8000171344048047,1.8527827007899247e-14,0.9988330808795346
OID30873,3499,lmer,0.011300275660770746,0.02284741048133168,0.6209760833505771,-0.019445574403993457,0.014650300419015107,0.18452999112249205,-0.022273290353657025,0.014647873460023894,0.12849851334925236,0.7889863947732658,0.20849677775455905,0.30939139581537445
OID30874,3499,lmer,-0.024046152560384938,0.020596156985866358,0.24324201198127865,0.0476930600588847,0.01593862947904157,0.002797007688833807,0.01011475779959469,0.015963378389052305,0.5263882341024784,0.4930722207955178,0.003606375595262999,0.6933901794869509
OID30875,3499,lmer,-0.019574172274653894,0.021081978525864856,0.35334731846029555,0.0026445811460369876,0.015542122663728852,0.864901887846272,0.010935513051678373,0.015559841840825112,0.48224684770090276,0.5923175725863704,0.8765978565099353,0.6599015140271842
OID30876,3499,lmer,-0.041947246191708934,0.022428097581606264,0.06169211271762344,0.13498369834753743,0.014384725026376539,1.426311242939342e-20,0.03483177996909616,0.01438237471570519,0.015517407086385273,0.27849469247896785,2.723127213005681e-20,0.10761277081846475
OID30877,3499,lmer,-0.010838377102688245,0.022858928597684538,0.6354870462662499,0.0014038210055454527,0.014389221810501236,0.9222893662917305,0.027238872109070604,0.01438418856412432,0.058391688449571016,0.7973882221377039,0.9267280225750182,0.21826558719807165
OID30878,3499,lmer,0.004153118233196867,0.02666979068117824,0.8762773968863171,-0.018298815588764814,0.011368752021074962,0.1076234241301013,0.022299704673507243,0.011318062660473072,0.048924260354069625,0.9348024931017171,0.12498342023531431,0.20154244541050412
OID30879,3499,lmer,-0.03682780894595436,0.020340406968476415,0.07046483861200543,0.006128347206352726,0.015913723996768974,0.7001988269031054,0.031186338064567377,0.015939861411399442,0.05052420770546095,0.294215528479716,0.724488910101868,0.20313928352553282
OID30880,3499,lmer,-0.02207987707348324,0.02419722556672615,0.3616944819169059,0.11814609670051676,0.01326145400145225,9.947250193957548e-19,0.022948185972162426,0.013237774839898075,0.08313118162422195,0.5969694921756724,1.8460833217103435e-18,0.2536569375667822
OID30881,3499,lmer,-0.04870452489695312,0.023159558044831195,0.03567439371549925,-0.004602634235397236,0.014571875412784124,0.7521379788859376,0.027584197728226977,0.014566712285835061,0.05839332507317552,0.21499705412701522,0.7733026072049228,0.21826558719807165
OID30882,3499,lmer,-0.012075653187235665,0.02652707078038854,0.6490346832004265,-0.019455053481764097,0.011832028043050011,0.10025169314038918,-0.007029772628601791,0.011784880601733268,0.5508936584257139,0.8076323452511053,0.11684039037055724,0.7118754038807965
OID30883,3499,lmer,-0.031200426872107816,0.0207621853485383,0.13316885585285243,0.20860771351710244,0.01508636558594489,6.562323657634486e-42,0.0068752421107203055,0.015101639258923077,0.6489604651070746,0.3801294586502809,1.640861595488931e-41,0.7848206204004878
OID30884,3499,lmer,-0.01743747499888143,0.026273989031900546,0.5070269396634559,0.058667235274314396,0.011480304597718398,3.47278392732692e-7,0.009229797755858913,0.011432075415915963,0.4195414986349506,0.7080935234764842,5.15800173758973e-7,0.6082935518402582
OID30885,3499,lmer,-0.015942281535192553,0.01996370331212353,0.42470330052012206,0.17930473532688546,0.015158849834996744,2.0105949777185876e-31,0.005232986038545604,0.015179983813249006,0.7303283114599284,0.6445435197208262,4.432103408651155e-31,0.8378138361057185
OID30886,3499,lmer,0.0026500848155140274,0.024218164271291195,0.9128835024863561,0.010064048490247812,0.013853838507601624,0.4676366597823165,0.003647552951792955,0.013835369952913987,0.7920805375406187,0.954647672256176,0.4990514627760902,0.8743396568093763
OID30887,3499,lmer,-0.014207319544918651,0.02004620177062463,0.4786334466765756,0.24867730939336835,0.015007895766271621,1.773947002123269e-58,0.02578578774953466,0.015027010717694536,0.08629980028021537,0.6871540101353785,5.623912242089279e-58,0.2568781224226777
OID30888,3499,lmer,0.07349145382878719,0.02384475166747888,0.0021034026645655127,0.015728428954101554,0.014080970781143428,0.26410651228356063,-0.02219444366100589,0.014066870195839918,0.11475022296991083,0.05855472370023804,0.29208601415242064,0.29319484417923897
OID30889,3499,lmer,-0.004458828564920738,0.020435967169251806,0.8273230624492176,0.21072751787665397,0.015303777367407454,1.431904225748637e-41,0.013378576186451847,0.015323304230829768,0.38270483287361623,0.9140451172423031,3.559061268591213e-41,0.5799099152356559
OID30890,3499,lmer,-0.026785817340076637,0.023964758045332043,0.2639209074893414,0.05793508955726507,0.013238671339428092,1.2598545560020678e-5,-0.01748952414115988,0.0132161476865389,0.18585063454171288,0.5156689923738936,1.7807325276566943e-5,0.37633147831220637
OID30891,3216,lmer,-0.03249519418756716,0.02190812192130088,0.13828197632621222,0.23625290594350523,0.01572628365834202,1.203584519551336e-48,0.036970073521223924,0.015739155996997392,0.018916968256334467,0.38681114155820195,3.28792294453136e-48,0.11752263142750552
OID30892,3499,lmer,-0.01849831540765187,0.024272128657301037,0.44614181494630734,-0.016343316729216704,0.014155677296230964,0.24839367236240922,0.004731226572150993,0.014139667202523383,0.7379517996482989,0.6612943839188926,0.27533360042295113,0.8425910587390538
OID30893,3499,lmer,-0.029090543442740008,0.019439907060282827,0.1348079641279566,0.3105680870268901,0.014915711684601336,1.1137020875207003e-88,0.025552269445722094,0.01493781252385675,0.0872900685635788,0.38221567534118106,7.348422577478571e-88,0.25835620972508483
OID30894,3499,lmer,-0.04572820213195531,0.025198145987263398,0.06982013618602616,0.03128700436175999,0.012651802322854984,0.013470306283467579,-0.00837731089267296,0.012617360462642228,0.5067871118841649,0.2931609348844692,0.016747641542567304,0.6782686483687793
OID30895,3499,lmer,-0.029686851430438334,0.02738474269902274,0.2785582329051679,-0.0033977725399952823,0.010397829574748772,0.7438652556264735,-0.004820434279026267,0.010339329548215856,0.6410993627781119,0.5273482608690452,0.7664145725048227,0.7800664569380272
OID30896,3499,lmer,0.006596846990368906,0.027549327433542947,0.8107936462615256,0.0017700677352030579,0.010334776044393547,0.8640236759348136,0.002763286223563549,0.010275417525400218,0.7880133968543964,0.9050779014960305,0.8763154770150797,0.8705076186717312
OID30897,3499,lmer,-0.0036065318920782386,0.023813072128120265,0.879645740632515,0.009682348612697298,0.01399476419534142,0.4890957124437416,0.018724734404809762,0.013980051363867643,0.18057418617068496,0.9352748873369201,0.5194627805452163,0.37131441767844275
OID30898,3499,lmer,0.024228438080254096,0.02399238866137831,0.3127820001951297,-0.0015976861333773136,0.01389880450479887,0.9084933403731505,0.008920743947257696,0.013882110496101057,0.5205418529783199,0.5612275838788441,0.9150675513131354,0.6877517384256259
OID30899,2551,lmer,-0.053464538996846805,0.033506912511074356,0.11094474882427943,-0.009149580009823327,0.010955429251055781,0.40374031388138565,0.014128691176221718,0.010885164219081948,0.19447144533360514,0.3533099688731169,0.43643969581186765,0.3843407942597213
OID30900,3499,lmer,-0.012369292449199557,0.025696214950436728,0.6303458983903687,-0.024517937783931368,0.011911116251772833,0.03965919903628694,-0.008412653949384211,0.011868509067671689,0.47850588486075085,0.7939726615515059,0.04770662088670525,0.655730286661029
OID30901,3499,lmer,-0.005839659462359554,0.02435995249679298,0.8105857728768421,0.04338843533914023,0.013672796624610496,0.0015259300361200089,-0.005468973980955347,0.013651836072474294,0.6887482426480513,0.9050779014960305,0.001991202453383387,0.8138257738086048
OID30902,3499,lmer,-0.03995802812541124,0.021980975922220963,0.06934215170566684,0.1078239908935162,0.014875281220345019,5.650696684809957e-13,0.019707714214027786,0.014880601374287242,0.18550185272753225,0.2928850509145699,9.487068586846356e-13,0.37633147831220637
OID30903,3499,lmer,0.037444664828764664,0.021356008436999734,0.07981167486489177,0.01687600275940407,0.01534421420308273,0.27151889450513833,0.006954094581707145,0.015358205476178817,0.6507398041733443,0.3106385161519023,0.2999432081022371,0.7863218055389357
OID30904,3499,lmer,-0.01207519666527284,0.025707190369627143,0.6386402552716197,0.09752979198564839,0.012543382995948558,1.104940593877952e-14,0.01445242821833117,0.012505388177072968,0.2479222438783722,0.8000171344048047,1.907703104492176e-14,0.439773609639615
OID30905,3499,lmer,-0.010515371453226114,0.01941147727884791,0.5881209551573018,0.03184969886105291,0.0164968379865279,0.053642674278129916,0.01727388810293608,0.016534437847703955,0.2962575423051426,0.7697303696758615,0.06384264532368639,0.49158175445457614
OID30906,3499,lmer,-0.010330510077251361,0.02186963944913933,0.6367530467576836,-0.013647365404098237,0.014642889989306199,0.35142380062251466,-0.005306638302631532,0.0146466356073239,0.717152188928913,0.798125709979721,0.3831450090337972,0.8311323505995023
OID30907,3499,lmer,-0.0028721850318738544,0.027708645268454433,0.9174594402883289,0.009642368558900478,0.010147366446525951,0.3420900440832272,0.02373206674954387,0.010086739032589968,0.018715224598026388,0.9584467276493158,0.3736656199010736,0.11714047430413518
OID30908,3499,lmer,-0.0028964343752037563,0.023092369256843236,0.9002059689263082,0.018623023294434025,0.01429045094214692,0.19263822119046592,0.008337719434538994,0.014282998496631975,0.5594434440252086,0.9468521220480745,0.21698709847388514,0.7171871966096549
OID30909,3499,lmer,-0.02622552047238204,0.025825111788697556,0.3100753259477075,0.03295623694577536,0.012427371655765752,0.008056803453896573,0.010659005091278033,0.012387882418612944,0.3896358555606101,0.5582201791376213,0.01015963610687648,0.5868441193650715
OID30910,3499,lmer,-0.030337220414664728,0.023803270894654904,0.20274082350722308,-0.010453258124819932,0.01401832217385437,0.4559307273224532,0.017020884316070916,0.014003889227120904,0.22432075192635234,0.4603131913420142,0.4878058257553187,0.41641678574461066
OID30911,3216,lmer,0.0054022181500222345,0.028885991742060437,0.8516786363479171,-0.007780362124934058,0.008918469744195355,0.38309715567004377,0.0012196488248254775,0.008849734140633525,0.8903980809543521,0.9257927311435336,0.4156618359404372,0.9351899355478158
OID30912,3499,lmer,-0.012836192937210633,0.02235024867857065,0.5658607238851895,0.04711424629418397,0.014524441951127589,0.0011956292070781792,0.003922349767120255,0.014523949990890782,0.7871370383321206,0.7556011402085011,0.001568592536934254,0.8702278643993603
OID30913,3499,lmer,-0.055818760946192265,0.02431551454622041,0.021874468556736165,0.06477996574468892,0.01314356398136077,8.846319445735467e-7,0.005615428040467287,0.013118164689511361,0.6686430367898588,0.174696916916229,1.3006937494911857e-6,0.7990366298187889
OID30914,3499,lmer,-0.03300159938014063,0.026047571022993272,0.20541416159446674,0.03848169951302483,0.01138883930625575,7.394344817789032e-4,0.008775589300099338,0.011341072585694029,0.4391339833186222,0.4603131913420142,9.806565291468848e-4,0.6224969123376978
OID30915,3499,lmer,-0.012667667816538447,0.02393097373460478,0.5966685585017982,0.032395804811069115,0.013396121437618555,0.01566744897296233,0.008711897657317077,0.013375206407825763,0.5148864164589461,0.7764177537030916,0.01940506497795292,0.684043849424975
OID30916,3499,lmer,0.005641140738071203,0.02258490328022705,0.8028045653887702,0.1797290789172718,0.013818390521932743,1.967271957510389e-37,0.00919598408257587,0.013809588742551235,0.5055315345577667,0.900805276250048,4.671272081074628e-37,0.6768981564417553
OID30917,3499,lmer,-0.04417364640323168,0.022200989021742206,0.046851471718783115,0.08371447445136779,0.012480219670701792,2.4539180338865755e-11,-0.019706667877710828,0.012461290269189152,0.11391343312990719,0.23784903830464713,4.004914803489928e-11,0.2923344732561183
OID30918,3499,lmer,-0.020822091700753945,0.026916797505936087,0.4393374203600443,0.08215243802209067,0.01154461877284879,1.460157367488596e-12,0.011122706151318823,0.011493880549552169,0.33329033619559034,0.6575439220237631,2.4347062094518916e-12,0.5349849822623342
OID30919,3499,lmer,-0.019485271824995074,0.025595481378511097,0.446644434679104,0.006457464467153815,0.012507077541002389,0.6056893043654743,0.01854044046076789,0.012469387894639833,0.13718214675850365,0.661703843166255,0.6334274907550201,0.3194488118389162
OID30920,3499,lmer,0.01304062719110585,0.024051551892032227,0.587786205890312,-0.013548060928523014,0.013611836314628699,0.3196831649638678,-0.006843815121641247,0.013592156539863976,0.6146512493140368,0.7697303696758615,0.3507634726686883,0.7593514800274427
OID30921,3499,lmer,-0.04022949284245222,0.01795147792802298,0.025211539649322472,0.28372762523167167,0.016024890704035635,4.88737739969881e-66,0.03139727873187037,0.016066893097941674,0.050799440775470044,0.18286186202225704,1.8198476610598243e-65,0.20396533706964143
OID30922,3499,lmer,-0.02479496976501601,0.024181629551886154,0.3054018010181667,0.001922689526732654,0.013990414343412166,0.8907031667660104,0.024713483104383434,0.0139734221784244,0.07708893628734279,0.5530913657844494,0.8993179124203966,0.24439366677646743
