protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID20770,2775,lmer,-0.054136625005781265,0.02777029294980907,0.05154004398240931,0.020824993558828206,0.015645564228593804,0.18333196944475103,0.01685551371470126,0.016625383089764616,0.3107894967806194,0.9192210937719016,0.20965545645031583,0.5208931760835726
OID20771,2775,lmer,-0.04103516856870952,0.02409117922730823,0.08883903606383656,0.32358398050828524,0.013278685574865785,2.014435446212961e-114,-0.012316535612753119,0.014106367242860341,0.38271083603280664,0.9192210937719016,8.117359318559961e-113,0.5918855945629068
OID20772,2775,lmer,0.02009999935717771,0.032364963653921816,0.5347237112577647,0.09427711244083434,0.007292143860689291,1.1229162162527836e-36,-0.003096809744960935,0.007676911437230973,0.6867063216709721,0.9192210937719016,2.9149947603080696e-36,0.8287541611247942
OID20773,2775,lmer,0.013526833755701876,0.028698968986361203,0.6375118111592032,0.20152685334693654,0.014225401668864008,2.19402132621355e-43,0.03466718589086386,0.015091815994165134,0.021724863061717857,0.9577138528491497,6.362226524327587e-43,0.07947656411689774
OID20774,2775,lmer,0.00923708958858853,0.02175351051938694,0.6712090971940512,0.3506054404529625,0.01688414542913908,1.688789326290378e-86,0.04959679525556146,0.018010297510419118,0.005947920007043978,0.9658064987933149,2.056804666977823e-85,0.03292759503899536
OID20775,2775,lmer,0.07851378004385319,0.03548900174328482,0.027184727889811612,0.012433637429074244,0.004059746718928958,0.0022255881879100717,-7.741520548054047e-4,0.004263382658541166,0.8559311478055247,0.8795999385725233,0.002967789358239571,0.9283438757089234
OID20776,2775,lmer,-0.0086163067510389,0.030973605878340662,0.7809340627009519,0.11613403350843232,0.010214460969160379,5.127632154070062e-29,-0.011408709076737146,0.01078601260322094,0.2903161846996717,0.9840396519086052,1.1961746836669425e-28,0.49741747237815964
OID20777,2775,lmer,-0.052595147080494696,0.030761454278663412,0.08763904608690243,-0.06164626254007133,0.008504002152236923,6.108583779892197e-13,-0.010880419385210905,0.008965649678342218,0.2250684590553532,0.9192210937719016,1.080834769287221e-12,0.41956320524158
OID20778,2775,lmer,-0.011128641462512462,0.027762531854626873,0.6886219613753239,0.19587738771320726,0.013336881281121055,2.4798696203301626e-46,0.022368195849953084,0.014143619669262378,0.11393362954884671,0.9670887289493355,7.694966985376927e-46,0.26305529160448576
OID20779,2775,lmer,0.023283521975924384,0.02287361551204954,0.3089808698579327,0.24113023163560796,0.016764744260747633,1.2941305760736226e-44,0.03877707189396841,0.017871576744605037,0.030150496621683863,0.9192210937719016,3.8678360673447844e-44,0.09969445885201575
OID20780,2775,lmer,-0.04186762810636278,0.02613649741744252,0.10952092769063318,0.13751223153004227,0.013807506191146955,8.227174337680098e-23,-0.012857769406786025,0.01466026676131751,0.38057365763743,0.9192210937719016,1.743874589487957e-22,0.5901415391375108
OID20781,2775,lmer,0.02670504778648311,0.028466527485749904,0.34842409626123605,0.17463202753764212,0.011176916513879493,7.44687377182761e-52,-0.008370169229764647,0.011824279627753754,0.47910894535467596,0.9192210937719016,2.613110688481645e-51,0.6739342864637718
OID20782,2775,lmer,-0.016995193810777697,0.024527634695745888,0.4885448814599015,0.2871383543661825,0.011040084749559026,8.372316569808731e-128,-0.008688210294752892,0.011698453163015168,0.45776943137201376,0.9192210937719016,6.440074035144978e-126,0.6557656902185782
