protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30581,2935,lmer,NA,NA,NA,0.031011650466268394,0.013337058975356956,0.020161451779343274,NA,NA,NA,NA,0.026379553961960782,NA
OID30582,2935,lmer,NA,NA,NA,0.08854575983565635,0.013847319281686706,2.00538652611398e-10,NA,NA,NA,NA,3.6613021960219634e-10,NA
OID30583,2935,lmer,NA,NA,NA,0.05890549359053363,0.014630538238263102,5.882815395807641e-5,NA,NA,NA,NA,9.002863561228134e-5,NA
OID30584,2935,lmer,NA,NA,NA,0.27017575567722446,0.02009130088779405,1.609881791406859e-39,NA,NA,NA,NA,6.47274343367572e-39,NA
OID30585,2935,lmer,NA,NA,NA,0.09090175372779202,0.01810375523663814,5.597222219493204e-7,NA,NA,NA,NA,9.232889699536476e-7,NA
OID30586,2935,lmer,NA,NA,NA,0.31540466587947985,0.02010530101083121,2.16342300154072e-52,NA,NA,NA,NA,1.549922900368511e-51,NA
OID30587,2935,lmer,NA,NA,NA,0.14228486363379014,0.018046331156783807,5.177051576807545e-15,NA,NA,NA,NA,1.0785831617254778e-14,NA
OID30588,2935,lmer,NA,NA,NA,-0.015295947235781903,0.012910406930517574,0.23624910478892067,NA,NA,NA,NA,0.27172737399405494,NA
OID30589,2935,lmer,NA,NA,NA,0.011596044226462786,0.012501359577386633,0.3537379701695146,NA,NA,NA,NA,0.3938956521163776,NA
OID30590,2935,lmer,NA,NA,NA,0.2676805535563003,0.020308061963297132,4.2377233704794334e-38,NA,NA,NA,NA,1.6149759337563734e-37,NA
OID30591,2935,lmer,NA,NA,NA,0.28965221955675036,0.019971638758522335,2.3211571020865135e-45,NA,NA,NA,NA,1.1578058377813787e-44,NA
OID30592,2935,lmer,NA,NA,NA,-0.046665412467335035,0.013334318822238504,4.762889404875746e-4,NA,NA,NA,NA,6.971419995218731e-4,NA
OID30593,2935,lmer,NA,NA,NA,0.04728546956898588,0.015863152800086433,0.002909723057989079,NA,NA,NA,NA,0.004087035318838096,NA
OID30594,2712,lmer,NA,NA,NA,0.22879734702405335,0.01740944086083579,9.604500357286675e-38,NA,NA,NA,NA,3.6084774478597623e-37,NA
OID30595,2935,lmer,NA,NA,NA,-0.08226510856104984,0.014431749401871655,1.3756459642640175e-8,NA,NA,NA,NA,2.3877750317955598e-8,NA
OID30596,2935,lmer,NA,NA,NA,0.29015005819720335,0.01981843447507897,3.5873986650511235e-46,NA,NA,NA,NA,1.836421418203929e-45,NA
OID30597,2935,lmer,NA,NA,NA,0.21963142510046985,0.019373452010171294,6.540734338268053e-29,NA,NA,NA,NA,1.8543711416835615e-28,NA
OID30598,2935,lmer,NA,NA,NA,0.08361379303356467,0.015453370896992547,7.040627883539939e-8,NA,NA,NA,NA,1.1923380824789829e-7,NA
OID30599,2935,lmer,NA,NA,NA,-0.04479942931291843,0.014310380476671549,0.0017704603525341563,NA,NA,NA,NA,0.0025170503941913127,NA
OID30600,2935,lmer,NA,NA,NA,0.46848403493278384,0.017758928173872448,1.0178237029248162e-131,NA,NA,NA,NA,3.305665204054708e-129,NA
OID30601,2935,lmer,NA,NA,NA,-0.0969714106800594,0.02035724485160175,2.040625101281989e-6,NA,NA,NA,NA,3.3100705721682875e-6,NA
OID30602,2935,lmer,NA,NA,NA,0.4308911389850347,0.02023289972721566,8.22026453470844e-91,NA,NA,NA,NA,5.9815953510266246e-89,NA
OID30603,2935,lmer,NA,NA,NA,0.39287128651313025,0.01963917802340205,2.748059579668468e-81,NA,NA,NA,NA,1.1156358543570738e-79,NA
OID30604,2935,lmer,NA,NA,NA,-0.11735307092703742,0.018105518101131073,1.141738499982423e-10,NA,NA,NA,NA,2.1002527598795608e-10,NA
OID30605,2935,lmer,NA,NA,NA,0.3036078695787418,0.020944859759377273,2.400650155023917e-45,NA,NA,NA,NA,1.195417445167787e-44,NA
OID30606,2935,lmer,NA,NA,NA,-0.04746362730174518,0.013362821997743834,3.9143198156106173e-4,NA,NA,NA,NA,5.74952604071851e-4,NA
OID30607,2935,lmer,NA,NA,NA,4.909144629491847e-4,0.01463541209519355,0.9732450301501853,NA,NA,NA,NA,0.9772570330226698,NA
OID30608,2935,lmer,NA,NA,NA,-0.037311593142837635,0.013170841102473201,0.004659953711120867,NA,NA,NA,NA,0.006449358284851465,NA
OID30609,2935,lmer,NA,NA,NA,0.29403473519023654,0.019902856472696892,6.054260210686689e-47,NA,NA,NA,NA,3.2293070430359843e-46,NA
OID30610,2935,lmer,NA,NA,NA,-0.03784611626216939,0.01870745977445432,0.043202293850451476,NA,NA,NA,NA,0.05447812982091012,NA
OID30611,2935,lmer,NA,NA,NA,0.25712053785245875,0.01949078231262945,3.699488892207515e-38,NA,NA,NA,NA,1.4172484969754348e-37,NA
